NIF-CHI-SAN-1,Pure Essence Japon,Con Filtro,Negro,Normal,t,71
NIF-CHI-SAN-1,Highland Peak Argentina,Con Filtro,Rubio,SuperLight,f,391
NIF-CHI-SAN-1,Ocean Breeze Argentina,Con Filtro,Rubio,Normal,t,384
NIF-CHI-SAN-1,Ocean Breeze Alemania,Sin Filtro,Rubio,Normal,t,124
NIF-CHI-SAN-1,Amber Haze Alemania,Con Filtro,Rubio,Normal,t,486
NIF-CHI-SAN-1,Royal Blend Chile,Con Filtro,Rubio,Normal,t,341
NIF-CHI-SAN-1,Gold Leaf Chile,Con Filtro,Rubio,Normal,t,72
NIF-CHI-SAN-1,Gold Leaf Chile,Con Filtro,Rubio,Light,f,429
NIF-CHI-SAN-1,Gold Leaf Argentina,Sin Filtro,Negro,Normal,t,146
NIF-CHI-SAN-1,Urban Classic Argentina,Sin Filtro,Negro,Normal,f,233
NIF-CHI-SAN-1,Amber Haze Argentina,Con Filtro,Negro,SuperLight,f,137
NIF-CHI-SAN-1,Urban Classic Alemania,Sin Filtro,Negro,Normal,f,211
NIF-CHI-SAN-1,Mountain Mist Alemania,Sin Filtro,Rubio,Normal,f,350
NIF-CHI-SAN-1,Mountain Mist Japon,Sin Filtro,Rubio,Normal,f,247
NIF-CHI-SAN-1,Amber Haze Argentina,Con Filtro,Rubio,Light,f,195
NIF-CHI-SAN-1,Pure Essence Argentina,Con Filtro,Rubio,Normal,t,329
NIF-CHI-SAN-1,Amber Haze Chile,Sin Filtro,Rubio,Normal,f,431
NIF-CHI-SAN-1,Mountain Mist Argentina,Sin Filtro,Negro,Normal,t,427
NIF-CHI-SAN-1,Royal Blend Argentina,Sin Filtro,Negro,Normal,t,387
NIF-CHI-SAN-1,Pure Essence Argentina,Con Filtro,Rubio,UltraLight,f,351
NIF-CHI-SAN-1,Amber Haze Japon,Sin Filtro,Rubio,Normal,t,315
NIF-CHI-SAN-1,Ocean Breeze Reino,Sin Filtro,Negro,Normal,t,78
