NIF-CHI-SAN-1,3728,CP-6323,Estanco Santiago 1,Av. Providencia 274,Santiago,Metropolitana
NIF-CHI-SAN-2,3456,CP-8599,Estanco Santiago 2,Av. Providencia 1828,Santiago,Metropolitana
NIF-CHI-SAN-3,3407,CP-8374,Estanco Santiago 3,Calle Ahumada 1382,Santiago,Metropolitana
NIF-CHI-SAN-4,2035,CP-9908,Estanco Santiago 4,Av. Apoquindo 1284,Santiago,Metropolitana
NIF-CHI-SAN-5,3075,CP-2849,Estanco Santiago 5,Av. Providencia 1566,Santiago,Metropolitana
NIF-CHI-SAN-6,4419,CP-2898,Estanco Santiago 6,Av. Providencia 288,Santiago,Metropolitana
NIF-CHI-SAN-7,9450,CP-1947,Estanco Santiago 7,Av. Libertador B. O'Higgins 1429,Santiago,Metropolitana
NIF-CHI-SAN-8,8772,CP-7981,Estanco Santiago 8,Calle Ahumada 1543,Santiago,Metropolitana
NIF-CHI-SAN-9,6405,CP-8621,Estanco Santiago 9,Av. Libertador B. O'Higgins 106,Santiago,Metropolitana
NIF-CHI-SAN-10,9952,CP-9843,Estanco Santiago 10,Av. Libertador B. O'Higgins 1595,Santiago,Metropolitana
NIF-CHI-SAN-11,1375,CP-8083,Estanco Santiago 11,Calle Bandera 1440,Santiago,Metropolitana
NIF-CHI-SAN-12,7302,CP-6859,Estanco Santiago 12,Calle Ahumada 1227,Santiago,Metropolitana
NIF-CHI-SAN-13,9219,CP-7160,Estanco Santiago 13,Calle Ahumada 754,Santiago,Metropolitana
NIF-CHI-SAN-14,3016,CP-1354,Estanco Santiago 14,Av. Apoquindo 1592,Santiago,Metropolitana
NIF-CHI-SAN-15,2064,CP-4184,Estanco Santiago 15,Av. Providencia 1536,Santiago,Metropolitana
NIF-CHI-PUE-1,1992,CP-3068,Estanco Puente Alto 1,Av. Libertador B. O'Higgins 4,Puente Alto,Metropolitana
NIF-CHI-PUE-2,3267,CP-6353,Estanco Puente Alto 2,Calle Ahumada 1947,Puente Alto,Metropolitana
NIF-CHI-PUE-3,8282,CP-8676,Estanco Puente Alto 3,Calle Bandera 327,Puente Alto,Metropolitana
NIF-CHI-PUE-4,7995,CP-4288,Estanco Puente Alto 4,Calle Bandera 1844,Puente Alto,Metropolitana
NIF-CHI-PUE-5,6452,CP-3361,Estanco Puente Alto 5,Av. Libertador B. O'Higgins 1852,Puente Alto,Metropolitana
NIF-CHI-PUE-6,8696,CP-6269,Estanco Puente Alto 6,Av. Providencia 744,Puente Alto,Metropolitana
NIF-CHI-PUE-7,7643,CP-2252,Estanco Puente Alto 7,Av. Providencia 474,Puente Alto,Metropolitana
NIF-CHI-PUE-8,2953,CP-1587,Estanco Puente Alto 8,Calle Ahumada 1905,Puente Alto,Metropolitana
NIF-CHI-PUE-9,5179,CP-4468,Estanco Puente Alto 9,Av. Libertador B. O'Higgins 11,Puente Alto,Metropolitana
NIF-CHI-PUE-10,8200,CP-6978,Estanco Puente Alto 10,Av. Providencia 1587,Puente Alto,Metropolitana
NIF-CHI-PUE-11,7422,CP-7391,Estanco Puente Alto 11,Calle Bandera 54,Puente Alto,Metropolitana
NIF-CHI-PUE-12,4974,CP-9996,Estanco Puente Alto 12,Calle Bandera 1988,Puente Alto,Metropolitana
NIF-CHI-PUE-13,1587,CP-3388,Estanco Puente Alto 13,Av. Providencia 1595,Puente Alto,Metropolitana
NIF-CHI-PUE-14,7900,CP-3779,Estanco Puente Alto 14,Av. Apoquindo 1839,Puente Alto,Metropolitana
NIF-CHI-PUE-15,6191,CP-4186,Estanco Puente Alto 15,Calle Ahumada 1388,Puente Alto,Metropolitana
NIF-CHI-MAI-1,5895,CP-2008,Estanco Maipú 1,Av. Apoquindo 698,Maipú,Metropolitana
NIF-CHI-MAI-2,6781,CP-6393,Estanco Maipú 2,Calle Bandera 1097,Maipú,Metropolitana
NIF-CHI-MAI-3,4099,CP-6067,Estanco Maipú 3,Av. Libertador B. O'Higgins 580,Maipú,Metropolitana
NIF-CHI-MAI-4,9236,CP-4949,Estanco Maipú 4,Calle Bandera 939,Maipú,Metropolitana
NIF-CHI-MAI-5,4910,CP-5627,Estanco Maipú 5,Av. Providencia 516,Maipú,Metropolitana
NIF-CHI-MAI-6,3489,CP-6503,Estanco Maipú 6,Av. Providencia 1768,Maipú,Metropolitana
NIF-CHI-MAI-7,7773,CP-1884,Estanco Maipú 7,Calle Ahumada 381,Maipú,Metropolitana
NIF-CHI-MAI-8,8665,CP-5801,Estanco Maipú 8,Av. Apoquindo 1983,Maipú,Metropolitana
NIF-CHI-MAI-9,7705,CP-9904,Estanco Maipú 9,Calle Ahumada 1629,Maipú,Metropolitana
NIF-CHI-MAI-10,7965,CP-7723,Estanco Maipú 10,Av. Apoquindo 1624,Maipú,Metropolitana
NIF-CHI-MAI-11,6010,CP-1154,Estanco Maipú 11,Av. Libertador B. O'Higgins 937,Maipú,Metropolitana
NIF-CHI-MAI-12,6415,CP-2761,Estanco Maipú 12,Av. Providencia 780,Maipú,Metropolitana
NIF-CHI-MAI-13,1370,CP-7430,Estanco Maipú 13,Av. Providencia 617,Maipú,Metropolitana
NIF-CHI-MAI-14,4721,CP-8289,Estanco Maipú 14,Av. Providencia 628,Maipú,Metropolitana
NIF-CHI-MAI-15,2317,CP-3935,Estanco Maipú 15,Av. Apoquindo 1931,Maipú,Metropolitana
NIF-CHI-LA -1,8328,CP-3386,Estanco La Florida 1,Av. Apoquindo 41,La Florida,Metropolitana
NIF-CHI-LA -2,4599,CP-9094,Estanco La Florida 2,Calle Ahumada 449,La Florida,Metropolitana
NIF-CHI-LA -3,2213,CP-3169,Estanco La Florida 3,Av. Providencia 1415,La Florida,Metropolitana
